route_code,source,destination
155,Millennium City Centre Metro Station/ Fortis Hospital Exit Gate,Badli
933,Ballabhgarh Bus stand,Ballabhgarh Bus stand (Mudrika)
133,MG Road Metro Station,Police Line Manesar
915A,Badarpur Border,Dhatir
111A,Fortis Memorial Research Institute - Huda City Centre,Hero Honda Chowk
912,Ballabhgarh Bus Stand,Pali Chowk
254,Mahavir Chowk,Farrukhnagar
217,Gurugram Bus stand,Bhondsi Police Chowki
254A,Gurugram Bus Stand,Dhana
114,HUDA CITY CENTRE METRO STATION (B),Business zone sector-50
D301,AIIMS Ballabhgarh,AIIMS Delhi
919,Badarpur Border,Ballabgarh Bus Stand
916,Ballabhgarh Bus Stand,Arua
917,Ballabhgarh Bus Stand,Baghpur Village
914,Badarpur Border,Bhadana Market, Basantpur
135B,Iffco Metro Station,NTH-91/Sector-91
D202,Gurugram Bus stand,Badarpur Border
111G,Sector 55-56 Metro Station,Sector 55-56 Metro Station via Nirwana Chowk
221A,Gurugram Railway Station,Badshahpur
903,Badarpur Border,Ballabgarh Bus Stand
118,Huda City Centre,Sohna Bus Stand
904,Ballabgarh Bus Stand,Badarpur Border
905A,Badarpur Border,Rajpur Kalan, SAI Electricals
132B,Dundahera,Hero Honda Chowk
116F,Gurugram Railway Station,CRPF Camp Kadarpur Gate No. 2
116E,Huda City Centre,Gurugram Railway Station
212,Basai Chowk (via Huda City Center),Basai Chowk
222C,Gurugram Bus Stand,Palam Vihar
218,Gurugram Bus Stand,Sohna Bus stand
134,Iffco Chowk Metro Station,Dhana Mod
111B,Huda City Centre,Maruti Kunj
215B,Mahaveer Chowk,Dundahera
213,Gurugram Bus Stand,Gairatpur Baas Village
