stop_code,name,latitude,longitude
STOP_GURUGRAM_BUS_STAND,Gurugram Bus Stand,28.464847,77.033236
STOP_CIVIL_HOSPITAL,Civil Hospital,28.460227,77.032234
STOP_KAMLA_NEHRU_PARK,Kamla Nehru Park,28.458593,77.029361
STOP_COMMISSIONER_OF_POLICE_OFFICE_SCERT_HARYANA,Commissioner of Police Office /SCERT Haryana,28.453813,77.029964
STOP_DISTRICT_SECRETARIAT_COURT_COMPLEX_B_AND_R_REST_HOUSE,District Secretariat Court Complex / B and R Rest House,28.451228,77.03095
STOP_RAJIV_CHOWK,Rajiv Chowk,28.447448,77.027866
STOP_TAU_DEVI_LAL_SPORTS_COMPLEX,Tau Devi Lal Sports Complex,28.471,77.034
STOP_ISLAMPUR_VILLAGE,ISLAMPUR VILLAGE,28.43206,77.03837
STOP_SUBHASH_CHOWK,Subhash Chowk,28.42772,77.03711
STOP_MALIBU_TOWN,Malibu Town,28.42191,77.03925
STOP_SECTOR_48_49_SOUTH_CITY_II,"Sector - 48/49 , South City II",28.412,77.056
STOP_CD_CHOWK,CD Chowk,28.41258,77.04198
STOP_SHAHEED_UDHAM_SINGH_CHOWK,Shaheed Udham Singh Chowk,28.405,77.045
STOP_POLICE_CHOWKI_BADASHAPUR,Police Chowki Badashapur,28.405,77.049
STOP_NURPUR_VILLAGE_MODE,Nurpur Village Mode,28.383,76.957
STOP_SAKATPUR_VILLAGE_MODE,Sakatpur Village Mode,28.383,76.957
STOP_AKLIMPUR_VILLAGE,Aklimpur Village,28.3667,77.0354
STOP_TIKLI_VILLAGE,Tikli Village,28.328125,77.043675
STOP_GOVT_SCHOOL_TIKLI_VILLAGE,Govt. School Tikli Village,28.340875,77.0499
STOP_GAIRATPUR_BAS_VILLAGE,Gairatpur Bas Village,28.3421,77.051925
STOP_BADARPUR_BORDER,Badarpur Border,28.493,77.303
STOP_SARAI_METRO_STATION,Sarai Metro Station,28.49,77.299
STOP_SARAI_KHAWAJA,Sarai Khawaja,28.482,77.3
STOP_NHPC_CHOWK,NHPC Chowk,28.472,77.304
STOP_NHPC_METRO_STATION,NHPC Metro Station,28.474,77.303
STOP_MEWLA_MAHARAJPUR_METRO_STATION,Mewla Maharajpur Metro Station,28.462,77.3
STOP_SECTOR_30_31,Sector- 30/31,28.451,77.305
STOP_SECTOR_28_METRO_STATION,Sector-28 Metro Station,28.457,77.304
STOP_BADKHAL_MOD_FLYOVER,Badkhal Mod Flyover,28.435,77.303
STOP_BADKHAL_MOD_METRO_STATION,Badkhal Mod Metro Station,28.433,77.304
STOP_RAJENDRA_COLONY_SECTOR_28,Rajendra Colony Sector-28,28.44,77.304
STOP_FARIDABAD_OLD_METRO_STATION,Faridabad Old Metro Station,28.437,77.304
STOP_SECTOR_16A_SECTOR_15_MOD,Sector-16A/ Sector- 15 Mod,28.422,77.312
STOP_NEELAM_CHOWK_AJRONDA_METRO_STATION,Neelam Chowk Ajronda Metro Station,28.408,77.313
STOP_AJRONDA_CHOWK,Ajronda Chowk,28.414,77.314
STOP_BATA_CHOWK_METRO_STATION,Bata Chowk Metro Station,28.385,77.314
STOP_BATA_CHOWK,Bata Chowk,28.383,77.314
STOP_ESCORTS_MUJESAR_J_C_BOSE_UNIVERSITY_OF_S_AND_T_YMCA_CHOWK,Escorts Mujesar/J.C. Bose University of S and T/YMCA Chowk,28.46965,77.060375
STOP_SANT_SURDAS_SIHI_NCB_COLONY_GOOD_YEAR_CHOWK,"Sant Surdas, Sihi (NCB Colony)/ Good Year Chowk",28.4618,77.05595
STOP_RAJIV_ENCLAVE_SECTOR_5,"Rajiv Enclave, Sector 5",28.483,77.018
STOP_BALLABGARH_BUS_STAND,Ballabgarh Bus Stand,28.34,77.315
STOP_GOVT_GIRLS_SCHOOL_SHYAM_COLONY,"Govt. Girls School, Shyam Colony",28.45325,77.043775
STOP_SECTOR_3,Sector -3,28.477,77.016
STOP_NTPC_CHOWK,NTPC Chowk,28.373,77.312
STOP_GOODYEAR_MOD,Goodyear Mod,28.384,77.31
